# GN benchmark NMI
mu	Leiden	FLPA	Infomap
0.0	1.0000	1.0000	1.0000
0.1	1.0000	1.0000	1.0000
0.2	1.0000	0.9361	1.0000
0.3	1.0000	0.7020	0.9200
0.4	0.9662	0.0358	0.0000
0.5	0.4519	0.0000	0.0000

# LFR benchmark NMI
mu	Leiden	FLPA	Infomap
0.0	1.0000	1.0000	1.0000
0.2	0.9888	0.9997	1.0000
0.4	0.9271	0.7910	0.9891
0.6	0.3171	0.0000	0.0000
0.8	0.0421	0.0000	0.0000

# ER NVI
k_avg	Leiden	FLPA	Infomap
8	0.3832	0.0000	0.6135
16	0.2908	0.0000	0.0000
24	0.3284	0.0000	0.0000
32	0.3147	0.0000	0.0000
40	0.3139	0.0000	0.0000
